"variable","Treatment","Comparison","Difference"
"房間數","0.297","1.918","-1.621"
"","(0.953)","(1.939)","[0.027]"
"衛浴數","0.531","1.229","-0.699"
"","(0.722)","(1.637)","[0.021]"
"有無附傢俱","0.289","0.862","-0.573"
"","(0.011)","(0.002)","[0.01]"
"有無管理組織","0.414","0.584","-0.169"
"","(0.012)","(0.003)","[0.013]"
"到學校距離","290.532","306.681","-16.149"
"","(143.367)","(154.242)","[3.666]"
"到捷運站距離","432.347","484.349","-52.002"
"","(354.861)","(453.072)","[9.23]"
"到醫療機構距離","70.815","101.777","-30.961"
"","(70.594)","(124.171)","[1.929]"
"屋齡","33.773","26.742","7.031"
"","(14.627)","(15.75)","[0.374]"
"總樓層數","8.259","10.589","-2.33"
"","(4.538)","(5.94)","[0.118]"
"租賃面積","150.134","136.448","13.686"
"","(192.567)","(227.212)","[4.966]"
"是否為一樓","0.8","0.058","0.743"
"","(0.01)","(0.002)","[0.008]"
"# of buildings","1672","20789",""
